# HanziToPinyin 多音词词典
# 编码：UTF-8（允许带 BOM）
# 格式：词组<TAB>拼音
# 规则：拼音使用小写 ASCII 字母，音节之间使用英文单引号；音节数必须与词组字符数一致。
# 注意：词组前后不要添加空格，同一个词组不能重复定义。
请不要输入特殊字符	qing'bu'yao'shu'ru'te'shu'zi'fu
朝辞白帝彩云间	zhao'ci'bai'di'cai'yun'jian
一暴十寒	yi'pu'shi'han
奇怪	qi'guai
觉醒	jue'xing
困觉	kun'jiao
睡觉	shui'jiao
觉得	jue'de
成长	cheng'zhang
长大	zhang'da
长城	chang'cheng
校长	xiao'zhang
重庆	chong'qing
重新	chong'xin
重复	chong'fu
重要	zhong'yao
重量	zhong'liang
银行	yin'hang
行长	hang'zhang
行业	hang'ye
行为	xing'wei
行走	xing'zou
发行	fa'xing
弹琴	tan'qin
子弹	zi'dan
弹药	dan'yao
音乐	yin'yue
乐器	yue'qi
快乐	kuai'le
的士	di'shi
的确	di'que
便宜	pian'yi
方便	fang'bian
角色	jue'se
角度	jiao'du
还钱	huan'qian
还有	hai'you
了解	liao'jie
好了	hao'le
着火	zhao'huo
看着	kan'zhe
着陆	zhuo'lu
随行	sui'xing
